stadium name,City/State,Year built,indoor/outdoor,Address,Dome/Outdoors,Field,Lat,Long,stadium,team_away
Alamo Dome,"San Antonio, TX",,indoor,"100 Montana St, San Antonio, TX 78203",dome,FieldTurf,39.0692,-94.4871,Soldier Field,Green Bay Packers
Alltel Stadium,"Jacksonville, FL",,,,,,32.7572,-97.0736,University of Phoenix Stadium,Detroit Lions
Alumni Stadium,"Chestnut Hill, MA",,outdoor,"Perimeter Rd, Chestnut Hill, MA 02467",cold,Grass,,,Bank of America Stadium,Los Angeles Rams
Arrowhead Stadium,"Kansas City, MO",1972,outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",cold,Grass,47.6523,-122.4095,FirstEnergy Stadium,Tennessee Titans
AT&T Stadium,"Arlington, TX",2009,retractable,"1 AT&T Way, Arlington, TX 76011",dome,FieldTurf,,,AT&T Stadium,New York Giants
Balboa Stadium,"San Diego, CA",,outdoor,"Balboa Stadium, San Diego, CA 92101",warm,Grass,32.7572,-97.0736,TIAA Bank Field,Kansas City Chiefs
CenturyLink Field,"Seattle, WA",2002,outdoor,"800 Occidental Ave S, Seattle, WA 98134",moderate,FieldTurf,,,StubHub Center,Indianapolis Colts
Cotton Bowl,"Dallas, TX",,outdoor,"1300 Robert B Cullum Blvd., Dallas, TX 75210",moderate,"Grass, Turf (1970-1971)",,,Hard Rock Stadium,Baltimore Ravens
Cowboys Stadium,"Arlington, TX",2009,retractable,"1 AT&T Way, Arlington, TX 76011",dome,FieldTurf,,,U.S. Bank Stadium,Atlanta Falcons
Dolphin Stadium,"Miami, FL",,,,,,30.23333,-81.66667,Gillette Stadium,Pittsburgh Steelers
Edward Jones Dome,"St. Louis, MO",1995,indoor,"901 N Broadway, St. Louis, MO 63101",dome,,41.4057,-81.852,MetLife Stadium,Buffalo Bills
Estadio Azteca,"Mexico City, Mexico",1966,outdoor,"Calz. de Tlalpan 3465, Sta. ê_rsula Coapa, Coyoac_†çn, 04650 Ciudad de MÅ_xico, D.F., Mexico",warm,,,,Lincoln Financial Field,Washington Redskins
EverBank Field,"Jacksonville, FL",1995,outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",warm,Grass,,,CenturyLink Field,Cincinnati Bengals
FirstEnergy Stadium,"Cleveland, OH",1999,outdoor,"100 Alfred Lerner Way, Cleveland, OH 44114",cold,Grass,,,Raymond James Stadium,San Francisco 49ers
Ford Field,"Detroit, MI",2002,indoor,"2000 Brush St, Detroit, MI 48226",dome,FieldTurf,42.0479,-71.005,Mercedes-Benz Superdome,Houston Texans
Franklin Field,"Philadelphia, PA",,outdoor,"S. 33rd and Spruce St., Philadelphia, PA 19104",cold,"Grass, Turf (1969-1970)",25.7905,-80.3163,Oakland Coliseum,Denver Broncos
Georgia Dome,"Atlanta, GA",1992,indoor,"1 Georgia Dome Dr, Atlanta, GA 30313",dome,FieldTurf,40.4846,-80.2144,Bank of America Stadium,Tampa Bay Buccaneers
Gillette Stadium,"Foxborough, MA",2002,outdoor,"1 Patriot Pl, Foxborough, MA 02035",cold,FieldTurf,,,Mercedes-Benz Stadium,Philadelphia Eagles
Hard Rock Stadium,"Miami Gardens, FL",1987,outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,Grass,,,M&T Bank Stadium,Arizona Cardinals
Heinz Field,"Pittsburgh, PA",2001,outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212",cold,Grass,,,Paul Brown Stadium,San Francisco 49ers
Jack Murphy Stadium,"San Diego, CA",,,,,,44.4794,-88.1366,Sports Authority Field at Mile High,Chicago Bears
Joe Robbie Stadium,"Miami, FL",,,,,,39.87327,-75.22678,Ford Field,Los Angeles Chargers
Kansas City Municipal Stadium,"Kansas City, MO",,outdoor,"Brooklyn Ave & E. 22nd St., Kansas City, MO 64127",cold,Grass,33.938,-118.3888,Lambeau Field,Minnesota Vikings
Lambeau Field,"Green Bay, WI",1957,outdoor,"1265 Lombardi Ave, Green Bay, WI 54304",cold,Grass,,,NRG Stadium,Jacksonville Jaguars
Lincoln Financial Field,"Philadelphia, PA",2003,outdoor,"1020 Pattison Ave, Philadelphia, PA 19148",cold,Grass,39.8721,-86.1201,Los Angeles Memorial Coliseum,New Orleans Saints
Los Angeles Memorial Coliseum,"Los Angeles, CA",1946,outdoor,"3911 S Figueroa St, Los Angeles, CA 90037",warm,Grass,39.1733,-76.684,Hard Rock Stadium,New England Patriots
Louisiana Superdome,"New Orleans, LA",1975,indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",dome,FieldTurf,,,MetLife Stadium,Buffalo Bills
