Player,Week,Opponent,Win/Loss,Field Goals Made,Field Goals Attempted,FG%,Extra Point Made,Extra Point Attempted,FF Points
 Harrison Butker,1,at JAC,W 40-26,4,4,100.00%,4,4,16
 Harrison Butker,2,at LV,W 28-10,0,0,0.00%,4,4,4
 Harrison Butker,3,BAL,W 33-28,2,2,100.00%,3,4,9
 Harrison Butker,4,at DET,W 34-30,2,3,66.70%,4,4,10
 Harrison Butker,5,IND,L 13-19,2,2,100.00%,1,1,7
 Harrison Butker,6,HOU,L 24-31,1,2,50.00%,3,3,6
 Harrison Butker,7,at DEN,W 30-6,3,3,100.00%,3,3,12
 Harrison Butker,8,GB,L 24-31,1,2,50.00%,3,3,6
 Harrison Butker,9,MIN,W 26-23,4,4,100.00%,2,2,14
 Harrison Butker,10,at TEN,L 32-35,4,5,80.00%,2,3,14
 Harrison Butker,11,at LAC,W 24-17,1,1,100.00%,3,3,6
 Harrison Butker,13,LV,W 40-9,1,1,100.00%,5,5,8
 Harrison Butker,14,at NE,W 23-16,3,3,100.00%,2,2,11
 Harrison Butker,15,DEN,W 23-3,3,3,100.00%,0,0,9
 Harrison Butker,16,at CHI,W 26-3,2,2,100.00%,2,3,8
 Harrison Butker,17,LAC,W 31-21,1,1,100.00%,4,4,7
Wil Lutz,1,HOU,W 30-28,3,4,75.00%,3,3,12
 Wil Lutz,2,at LAR,L 9-27,3,3,100.00%,0,0,9
 Wil Lutz,3,at SEA,W 33-27,0,0,0.00%,3,4,3
 Wil Lutz,4,DAL,W 12-10,4,4,100.00%,0,0,12
 Wil Lutz,5,TB,W 31-24,1,1,100.00%,4,4,7
 Wil Lutz,6,at JAC,W 13-6,2,2,100.00%,1,1,7
 Wil Lutz,7,at CHI,W 36-25,2,4,50.00%,4,4,10
 Wil Lutz,8,ARI,W 31-9,1,2,50.00%,4,4,7
 Wil Lutz,10,ATL,L 9-26,3,3,100.00%,0,0,9
 Wil Lutz,11,at TB,W 34-17,2,2,100.00%,4,4,10
 Wil Lutz,12,CAR,W 34-31,2,2,100.00%,4,4,10
 Wil Lutz,13,at ATL,W 26-18,4,4,100.00%,2,2,14
 Wil Lutz,14,SF,L 46-48,2,2,100.00%,4,4,10
 Wil Lutz,15,IND,W 34-7,2,2,100.00%,4,4,10
 Wil Lutz,16,at TEN,W 38-28,1,1,100.00%,5,5,8
 Wil Lutz,17,at CAR,W 42-10,0,0,0.00%,6,6,6
 Justin Tucker,1,at MIA,W 59-10,1,1,100.00%,8,8,11
 Justin Tucker,2,ARI,W 23-17,3,3,100.00%,2,2,11
 Justin Tucker,3,at KC,L 28-33,1,1,100.00%,1,1,4
 Justin Tucker,4,CLE,L 25-40,1,1,100.00%,2,2,5
 Justin Tucker,5,at PIT,W 26-23,4,4,100.00%,2,2,14
 Justin Tucker,6,CIN,W 23-17,3,3,100.00%,2,2,11
 Justin Tucker,7,at SEA,W 30-16,3,3,100.00%,3,3,12
 Justin Tucker,9,NE,W 37-20,1,1,100.00%,4,5,7
 Justin Tucker,10,at CIN,W 49-13,0,0,0.00%,7,7,7
 Justin Tucker,11,HOU,W 41-7,2,3,66.70%,5,5,11
 Justin Tucker,12,at LAR,W 45-6,1,1,100.00%,6,6,9
 Justin Tucker,13,SF,W 20-17,2,2,100.00%,2,2,8
 Justin Tucker,14,at BUF,W 24-17,1,1,100.00%,3,3,6
 Justin Tucker,15,NYJ,W 42-21,0,0,0.00%,4,5,4
 Justin Tucker,16,at CLE,W 31-15,1,1,100.00%,4,4,7
 Justin Tucker,17,PIT,W 28-10,4,4,100.00%,2,2,14
Robbie Gould,1,at TB,W 31-17,3,4,75.00%,2,2,11
 Robbie Gould,2,at CIN,W 41-17,2,3,66.70%,5,5,11
 Robbie Gould,3,PIT,W 24-20,1,1,100.00%,3,3,6
 Robbie Gould,5,CLE,W 31-3,1,4,25.00%,4,4,7
 Robbie Gould,6,at LAR,W 20-7,2,3,66.70%,2,2,8
 Robbie Gould,7,at WAS,W 9-0,3,4,75.00%,0,0,9
 Robbie Gould,8,CAR,W 51-13,1,1,100.00%,6,6,9
 Robbie Gould,9,at ARI,W 28-25,0,0,0.00%,4,4,4
 Chase McLaughlin,10,SEA,L 24-27,3,4,75.00%,1,1,10
 Chase McLaughlin,11,ARI,W 36-26,1,1,100.00%,3,3,6
 Chase McLaughlin,12,GB,W 37-8,3,3,100.00%,4,4,13
 Robbie Gould,13,at BAL,L 17-20,1,2,50.00%,2,2,5
 Robbie Gould,14,at NO,W 48-46,2,2,100.00%,6,6,12
 Robbie Gould,15,ATL,L 22-29,3,3,100.00%,1,2,10
 Robbie Gould,16,LAR,W 34-31,2,2,100.00%,4,4,10
 Robbie Gould,17,at SEA,W 26-21,2,2,100.00%,2,2,8
Brett Maher,1,NYG,W 35-17,0,0,0.00%,5,5,5
 Brett Maher,2,at WAS,W 31-21,1,1,100.00%,4,4,7
 Brett Maher,3,MIA,W 31-6,1,2,50.00%,4,4,7
 Brett Maher,4,at NO,L 10-12,1,1,100.00%,1,1,4
 Brett Maher,5,GB,L 24-34,1,3,33.30%,3,3,6
 Brett Maher,6,at NYJ,L 22-24,3,4,75.00%,1,1,10
 Brett Maher,7,PHI,W 37-10,3,3,100.00%,4,4,13
 Brett Maher,9,at NYG,W 37-18,3,4,75.00%,4,4,13
 Brett Maher,10,MIN,L 24-28,1,2,50.00%,3,3,6
 Brett Maher,11,at DET,W 35-27,2,2,100.00%,3,3,9
 Brett Maher,12,at NE,L 9-13,3,4,75.00%,0,0,9
 Brett Maher,13,BUF,L 15-26,0,2,0.00%,1,1,1
 Brett Maher,14,at CHI,L 24-31,1,2,50.00%,3,3,6
 Kai Forbath,15,LAR,W 44-21,3,3,100.00%,5,5,14
 Kai Forbath,16,at PHI,L 9-17,3,3,100.00%,0,0,9
 Kai Forbath,17,WAS,W 47-16,4,4,100.00%,5,5,17
Zane Gonzalez,1,DET,T,4,4,100.00%,1,1,13
 Zane Gonzalez,2,at BAL,L 17-23,3,3,100.00%,0,0,9
 Zane Gonzalez,3,CAR,L 20-38,2,2,100.00%,2,2,8
 Zane Gonzalez,4,SEA,L 10-27,1,3,33.30%,1,1,4
 Zane Gonzalez,5,at CIN,W 26-23,4,5,80.00%,2,2,14
 Zane Gonzalez,6,ATL,W 34-33,2,2,100.00%,4,4,10
 Zane Gonzalez,7,at NYG,W 27-21,2,2,100.00%,3,3,9
 Zane Gonzalez,8,at NO,L 9-31,3,3,100.00%,0,0,9
 Zane Gonzalez,9,SF,L 25-28,1,1,100.00%,2,2,5
 Zane Gonzalez,10,at TB,L 27-30,2,2,100.00%,3,3,9
 Zane Gonzalez,11,at SF,L 26-36,2,2,100.00%,2,3,8
 Zane Gonzalez,13,LAR,L 7-34,0,0,0.00%,1,1,1
 Zane Gonzalez,14,PIT,L 17-23,1,1,100.00%,2,2,5
 Zane Gonzalez,15,CLE,W 38-24,1,1,100.00%,5,5,8
 Zane Gonzalez,16,at SEA,W 27-13,2,3,66.70%,3,3,9
 Zane Gonzalez,17,at LAR,L 24-31,1,1,100.00%,3,3,6
Matt Bryant,1,at MIN,L 12-28,0,0,0.00%,0,0,0
 Matt Bryant,2,PHI,W 24-20,1,2,50.00%,3,3,6
 Matt Bryant,3,at IND,L 24-27,1,1,100.00%,3,3,6
 Matt Bryant,4,TEN,L 10-24,1,2,50.00%,1,1,4
 Matt Bryant,5,at HOU,L 32-53,1,1,100.00%,3,3,6
 Matt Bryant,6,at ARI,L 33-34,2,2,100.00%,3,4,9
 Matt Bryant,7,LAR,L 10-37,1,2,50.00%,1,1,4
 Matt Bryant,8,SEA,L 20-27,2,4,50.00%,0,0,6
 Younghoe Koo,10,at NO,W 26-9,4,4,100.00%,2,2,14
 Younghoe Koo,11,at CAR,W 29-3,3,4,75.00%,2,2,11
