Player Name,Week,Opponet,Win/Loss,Field Goals Made,Field Goals Attempted,FG%,Extra Point Made,Extra Point Attempted,Total Fantasy Points,Position
 Jason Sanders,14,at NYJ,L 21-22,7,8,87.50%,0,0,21,K
 Kai Forbath,17,WAS,W 47-16,4,4,100.00%,5,5,17,K
 Harrison Butker,1,at JAC,W 40-26,4,4,100.00%,4,4,16,K
 Younghoe Koo,14,CAR,W 40-20,4,4,100.00%,4,4,16,K
 Younghoe Koo,17,at TB,W 28-22,5,5,100.00%,1,1,16,K
 Matt Prater,6,at GB,L 22-23,5,5,100.00%,1,1,16,K
 Dan Bailey,15,at LAC,W 39-10,4,4,100.00%,3,4,15,K
 Stephen Gostkowski,1,PIT,W 33-3,4,4,100.00%,3,3,15,K
 Harrison Butker,9,MIN,W 26-23,4,4,100.00%,2,2,14,K
 Harrison Butker,10,at TEN,L 32-35,4,5,80.00%,2,3,14,K
