Player Name,Week,Opponet ,Win/Loss,Passes Completed,Passes Attempted ,Yards Per Game,TouchDowns,INT,Rushing Attempts,Total Rushing Yards,Rushing Touchdown,Total Fantasy Points,Position
 Aaron Rodgers,7,LV,W 42-24,25,31,429,5,0,2,6,1,48.1,QB
 Deshaun Watson,5,ATL,W 53-32,28,33,426,5,0,4,47,0,46,QB
 Russell Wilson,3,NO,L 27-33,32,50,406,2,0,7,51,2,45.4,QB
 Jameis Winston,14,IND,W 38-35,33,45,456,4,3,6,5,1,45.3,QB
 Drew Brees,14,SF,L 46-48,29,40,349,5,0,1,1,1,43.6,QB
 Russell Wilson,9,TB,W 40-34,29,43,378,5,0,1,21,0,41,QB
 Daniel Jones,3,at TB,W 32-31,23,36,336,2,0,4,28,2,39.6,QB
 Jameis Winston,15,at DET,W 38-17,28,42,458,4,1,2,4,0,39.3,QB
 Lamar Jackson,15,NYJ,W 42-21,15,23,212,5,0,8,86,0,39.2,QB
 Daniel Jones,16,at WAS,W 41-35,28,42,352,5,0,3,12,0,38.8,QB
