Player Name,Week,Opp,Win_Loss,Targetted,Rec,Yards,TD,Total Fantasy Points,Position
 Darren Waller,7,at GB,L 24-42,8,7,126,2,24.6,TE
 Hunter Henry,6,PIT,L 17-24,9,8,100,2,22,TE
 Mark Andrews,16,at CLE,W 31-15,9,6,93,2,21.3,TE
 Zach Ertz,14,NYG,W 23-17,13,9,91,2,21.1,TE
 Jared Cook,16,at TEN,W 38-28,4,3,84,2,20.4,TE
 Mike Gesicki,16,CIN,W 38-35,12,6,82,2,20.2,TE
 Greg Olsen,3,at ARI,W 38-20,7,6,75,2,19.5,TE
 Jordan Akins,3,at LAC,W 27-20,5,3,73,2,19.3,TE
 T.J. Hockenson,1,at ARI,T,9,6,131,1,19.1,TE
 George Kittle,12,GB,W 37-8,6,6,129,1,18.9,TE
